"Story","Title","Result","Date","Stability","Duration (s)"
"Signup User","User sign up","PENDING","2019-11-26T20:21:06.613+01:00[Europe/Warsaw]","0.0","0.26"
"Signup User","01 - User sign up","PENDING","2019-11-26T20:31:46.186+01:00[Europe/Warsaw]","0.0","0.24"
